Distance,Time,EField
0.253029,99.1153,2184.39
0.25303,99.1151,2184.3
0.251103,98.5918,2324.9
0.250599,98.4494,2368.21
0.248809,97.9126,2556.47
0.248781,97.9032,2560.25
0.247972,97.6294,2670.71
0.247662,97.519,2717.19
0.246697,97.1101,2889.52
0.246872,96.8191,2842.18
0.246879,96.8194,2840.75
0.247055,96.83,2805.94
0.248677,97.0655,2551.59
0.248666,97.0596,2551.6
0.248653,97.0547,2551.9
0.248631,97.0472,2552.43
0.248622,97.044,2552.64
0.248615,97.0423,2552.79
0.248826,97.0946,2535.27
0.253116,98.0166,2169.2
0.254431,98.3308,2096.75
0.259423,99.6136,1900.85
0.259527,99.6384,1897.52
0.259526,99.638,1897.54
0.264783,101.098,1767.46
0.264798,101.103,1767.29
0.264817,101.109,1767.07
0.264839,101.116,1766.83
0.26485,101.123,1766.69
0.264881,101.13,1766.34
0.264903,101.137,1766.1
0.264952,101.153,1765.43
0.264973,101.159,1764.96
0.264992,101.164,1764.55
0.265005,101.173,1764.25
0.265028,101.173,1763.69
0.265027,101.172,1763.6
0.265025,101.178,1763.5
0.265074,101.19,1762.92
0.26513,101.206,1762.29
0.265148,101.216,1762.01
0.265173,101.219,1761.55
0.26521,101.232,1761.25
0.265215,101.234,1761.32
0.265346,101.278,1759.94
0.265377,101.288,1759.61
0.265446,101.311,1758.84
0.265511,101.332,1758.11
0.265574,101.353,1757.41
0.2656,101.362,1757.22
0.265607,101.365,1757.3
0.265608,101.366,1757.37
0.265615,101.374,1757.63
0.265617,101.371,1757.73
0.265637,101.379,1757.77
0.265637,101.379,1757.74
0.265627,101.377,1757.68
0.265617,101.371,1757.72
0.265606,101.367,1757.73
0.265573,101.356,1758.13
0.265556,101.357,1758.36
0.265543,101.347,1758.6
0.265531,101.344,1758.83
0.265524,101.343,1758.97
0.265521,101.341,1759.2
0.265523,101.342,1759.23
0.265526,101.344,1759.31
0.265528,101.345,1759.37
0.264779,101.096,1767.56
0.264791,101.101,1767.46
0.264801,101.105,1767.39
0.264812,101.108,1767.27
0.26483,101.114,1767.08
0.264827,101.113,1767.14
0.264815,101.109,1767.33
0.264806,101.107,1767.48
0.273718,103.724,1625.38
0.276196,104.475,1596.27
0.277181,104.775,1585.57
0.279137,105.374,1565.62
0.292943,109.7,1460.87
0.297763,111.24,1435.04
0.298266,111.399,1432.62
0.317725,117.699,1367.58
0.327154,120.773,1353.67
0.33283,122.62,1350.01
0.34407,126.251,1351.17
0.344391,126.353,1351.3
0.352401,128.897,1355.67
0.356368,130.141,1357.17
0.365298,132.879,1352.31
0.37834,136.711,1297.92
0.383738,138.243,1250.45
0.393667,140.998,1126.74
0.406809,144.641,932.692
0.418904,148.184,774.814
0.423008,149.455,730.202
0.458438,162.628,501.714
0.459098,162.92,499.245
0.471296,168.566,460.798
0.475449,170.628,450.058
0.487278,176.914,424.215
0.491831,179.514,415.74
0.4948,181.25,410.582
0.497006,182.581,406.89
0.497017,182.58,406.883
0.507406,189.168,391.239
0.512991,192.95,383.774
0.516633,195.517,379.199
0.517558,196.182,378.071
0.537363,211.835,356.685
0.537372,211.843,356.672
0.537382,211.852,356.661
0.537385,211.853,356.657
0.539944,214.104,354.226
0.542747,216.635,351.625
0.564846,239.879,333.278
0.56521,240.328,333.001
0.576133,255.315,325.118
0.592566,291.39,314.378
0.594392,298.944,313.255
0.601111,438.482,309.743
0.612,432.998,303.565
0.620493,448.021,299.031
0.62045,447.854,299.069
0.620414,447.702,299.104
0.620378,447.537,299.143
0.620305,447.246,299.213
0.620247,447.033,299.266
0.620181,446.803,299.321
0.620165,446.739,299.338
0.620134,446.61,299.371
0.620112,446.532,299.391
0.620087,446.413,299.423
0.620062,446.332,299.445
0.620029,446.191,299.483
0.619992,446.06,299.521
0.619963,445.937,299.553
0.619901,445.757,299.602
0.619955,445.83,299.589
0.620014,445.915,299.573
0.620118,446.121,299.525
0.620159,446.212,299.504
0.620219,446.34,299.474
0.620318,446.543,299.427
0.620389,446.691,299.393
0.620458,446.839,299.359
0.620519,446.978,299.327
0.620573,447.078,299.305
0.620639,447.235,299.269
0.620721,447.416,299.228
0.620783,447.568,299.193
0.620853,447.714,299.161
0.620854,447.707,299.164
0.620858,447.698,299.166
