Distance,Time,EField
0.624326,569.073,296.039
0.617969,557.651,299.317
0.544681,432.978,348.94
0.528905,407.981,364.125
0.488101,346.726,420.976
0.478026,332.388,442.144
0.466788,316.768,471.98
0.453912,299.361,518.345
0.446548,289.641,553.418
0.338503,181.807,1346.15
0.32825,174.432,1348.14
0.320308,168.742,1357.79
0.273778,135.899,1627.07
0.287352,145.4,1494.35
0.287401,145.434,1493.91
0.287432,145.454,1493.63
0.287467,145.481,1493.31
0.287483,145.492,1493.16
0.287502,145.504,1492.98
0.287518,145.517,1492.82
0.287541,145.533,1492.64
0.287566,145.55,1492.46
0.287584,145.563,1492.32
0.287594,145.573,1492.28
0.287593,145.567,1492.33
0.287593,145.569,1492.37
0.287578,145.558,1492.56
0.287543,145.539,1492.9
0.287507,145.508,1493.21
0.287475,145.486,1493.48
0.287442,145.463,1493.76
0.287437,145.459,1493.81
0.288255,146.031,1487.96
0.289072,146.605,1482.25
0.310656,161.859,1380.24
0.31084,161.992,1379.24
0.310845,161.996,1379.21
0.354953,193.763,1359.32
0.364126,200.6,1362.31
0.395955,228.575,1115.82
0.397498,230.19,1092.3
0.402681,235.805,1011.59
0.405954,239.479,960.93
0.411221,245.559,883.203
0.472686,324.923,455.35
0.520724,395.301,373.107
0.527892,406.401,365.193
0.543314,430.782,350.142
0.60655,537.367,305.523
0.669309,652.335,275.754
