Distance,Time,EField
0.700126,496.028,264.262
0.700127,496.029,264.261
0.68092,463.791,271.264
0.680911,463.776,271.267
0.680908,463.773,271.268
0.676481,456.57,272.974
0.65347,420.36,282.44
0.61429,363.094,301.374
0.607127,353.192,305.308
0.601779,345.908,308.359
0.601488,345.515,308.528
0.598838,341.946,310.078
0.592034,332.887,314.186
0.58668,325.861,317.551
0.585782,324.693,318.128
0.565285,298.741,332.338
0.532875,260.508,360.358
0.530771,258.144,362.499
0.51963,245.862,374.739
0.519358,245.569,375.059
0.510218,235.792,386.489
0.489002,214.095,419.883
0.46177,188.125,489.074
0.435785,164.977,621.602
0.398245,134.287,1075.11
0.387066,126.561,1229.45
0.379823,122.145,1299.72
0.37982,122.143,1299.68
0.379819,122.143,1299.68
0.374228,119.031,1334.03
0.366232,114.982,1356.76
0.337813,102.646,1347.63
0.33186,100.253,1348.39
0.327358,98.4641,1351.36
0.320902,95.9237,1359.64
0.299338,87.5868,1426.44
0.297644,86.9387,1434.65
0.289955,84.0073,1479
0.289949,84.0049,1479.05
0.289934,83.9984,1479.18
0.289928,83.9964,1479.23
0.289923,83.9941,1479.28
0.289915,83.9907,1479.35
0.288421,83.4241,1489.38
0.283324,81.4862,1528.45
0.283339,81.4923,1528.31
0.283351,81.4971,1528.2
0.283373,81.5059,1527.99
0.283411,81.5212,1527.64
0.283448,81.5364,1527.29
0.283496,81.5559,1526.83
0.283519,81.5651,1526.62
0.28353,81.5696,1526.52
0.283546,81.5763,1526.36
0.283549,81.5776,1526.33
0.282746,81.2654,1533.41
0.277127,79.1257,1587.79
0.276966,79.0643,1589.54
0.274082,77.9624,1623.31
0.274113,77.975,1623
0.274141,77.9863,1622.71
0.274202,78.0103,1622.1
0.274246,78.0283,1621.67
0.274256,78.0323,1621.58
0.274262,78.0349,1621.53
0.27427,78.0385,1621.48
0.274264,78.0362,1621.6
0.274268,78.0382,1621.59
0.27427,78.0392,1621.59
0.274276,78.0418,1621.56
0.274281,78.0441,1621.52
0.274277,78.0426,1621.57
0.274271,78.0401,1621.65
0.274263,78.0369,1621.73
0.274247,78.0306,1621.89
0.274244,78.0295,1621.92
0.274246,78.0299,1621.91
0.274059,77.9526,1623.51
0.274083,77.9621,1623.24
0.27412,77.9771,1622.83
0.274153,77.99,1622.48
0.274172,77.9975,1622.26
0.274195,78.0066,1622
0.274203,78.0098,1621.91
0.274225,78.0184,1621.67
0.270486,76.579,1672.28
0.264297,74.161,1783.34
0.257019,71.1742,1994.6
0.256418,70.9139,2019.11
0.256163,70.803,2029.8
0.250235,67.9531,2408.55
0.248517,66.9364,2603.37
0.248416,66.8663,2618.96
0.248426,66.8698,2618.98
0.248007,66.5961,2675.31
0.247243,66.0236,2799.81
0.246894,65.7171,2863.88
0.246671,65.4829,2906.77
0.246547,65.2977,2931.08
0.246711,65.1233,2887.88
0.248466,65.728,2588.32
0.250761,66.6848,2341.64
0.261764,71.2046,1836.98
0.266464,73.0973,1735.6
0.266742,73.2094,1730.53
0.269505,74.32,1684.36
0.272094,75.3611,1647.03
0.278585,77.9794,1571.57
0.278579,77.9773,1571.62
0.282581,79.5987,1534.58
0.282749,79.6667,1533.14
0.283724,80.0633,1525.02
0.288923,82.1838,1486.41
0.29797,85.9055,1434.3
0.303349,88.1356,1410.49
0.306733,89.5453,1397.86
0.309428,90.6714,1388.97
0.310325,91.0463,1386.24
0.310324,91.0462,1386.25
0.328994,98.8933,1352.17
0.337671,102.541,1349.33
0.341357,104.085,1350.05
0.343563,105.014,1350.92
0.350197,107.768,1354.45
0.350803,108.019,1354.79
0.359091,111.46,1357.23
0.37769,119.335,1302.88
0.411538,137.4,866.924
0.417192,141.068,795.031
0.439717,157.255,593.38
0.449666,165.095,538.726
0.45364,168.363,520.771
0.482918,194.135,432.971
0.495714,206.339,408.978
0.500823,211.363,400.8
0.503013,213.544,397.494
0.503199,213.731,397.214
0.517961,228.82,377.529
0.518187,229.056,377.257
0.522329,233.415,372.415
0.522321,233.408,372.43
0.52232,233.409,372.43
0.52465,235.877,369.792
0.527957,239.415,366.188
0.532266,244.073,361.688
0.533782,245.724,360.155
0.55997,275.268,336.968
0.562911,278.703,334.689
0.570483,287.648,329.052
0.570484,287.65,329.049
0.570726,287.938,328.88
0.570722,287.935,328.885
0.570717,287.93,328.891
0.570714,287.926,328.895
0.579745,298.794,322.588
0.589421,310.67,316.277
0.590494,312.004,315.602
0.593348,315.557,313.832
0.6143,342.268,301.773
0.632834,366.757,292.284
0.638621,374.571,289.514
0.651487,392.207,283.651
0.662318,407.342,279.005
0.668411,415.971,276.499
0.689361,446.256,268.414
0.689685,446.732,268.295
0.698708,460.072,265.052
0.705347,469.997,262.75
0.705338,469.984,262.758
0.705335,469.978,262.761
0.705327,469.967,262.767
0.705318,469.953,262.773
0.705312,469.945,262.776
0.705276,469.891,262.794
0.705259,469.866,262.801
0.705238,469.834,262.811
0.705228,469.819,262.816
0.705211,469.793,262.824
0.705208,469.788,262.826
