Distance,Time,EField
0.687712,694.45,268.706
0.667985,653.97,276.338
0.647085,612.316,285.251
0.626736,572.982,294.906
0.517981,384.773,376.687
0.473114,318.625,454.97
0.473114,318.624,454.976
0.460682,301.433,492.799
0.4607,301.462,492.718
0.446073,281.768,556.816
0.4285,258.839,681.082
0.377025,201.055,1318.94
0.369664,194.993,1349.8
0.365945,192.089,1357.06
0.348081,179.13,1352.93
0.341273,174.431,1348.66
0.34075,174.067,1348.45
0.331289,167.647,1348.63
0.318598,159.143,1363.85
0.318578,159.129,1363.96
0.317815,158.624,1365.33
0.305522,150.485,1400.43
0.283814,136.278,1524.35
0.261298,121.466,1855.72
0.25089,113.87,2350.69
0.247191,110.37,2812.6
0.253578,114.369,2145.25
0.264066,121.543,1783.38
0.269564,125.237,1683.36
0.392911,212.794,1137.68
0.458326,286.592,501.971
0.45921,287.747,498.723
0.525135,382.11,369.214
0.531606,392.198,362.333
0.540649,406.549,353.461
0.582437,476.072,320.758
0.592689,493.892,314.21
0.624281,550.555,296.514
0.654853,607.79,282.155
0.66539,628.01,277.721
0.665386,628.003,277.723
0.670927,638.778,275.459
0.67648,649.598,273.271
0.69082,677.927,267.86
