Distance,Time,EField
0.70558,681.035,262.341
0.643527,568.716,286.802
0.471879,303.452,457.467
0.459275,287.185,497.067
0.440537,263.897,588.361
0.411563,230.217,878.693
0.40158,219.62,1028.76
0.39122,209.538,1184.22
0.34059,171.928,1347.02
0.336963,169.505,1345.76
0.315012,154.866,1368.55
0.278469,130.895,1572.35
0.250596,112.021,2455.07
0.247606,109.345,2943.33
0.247675,109.381,2944.32
0.247704,109.397,2944.75
0.247743,109.417,2945.31
0.247504,109.277,2949.09
0.253612,114.318,2198.53
0.280958,132.514,1547.64
0.288247,137.261,1487.99
0.299851,144.857,1420.98
0.306698,149.366,1392.93
0.339442,171.162,1346.49
0.359739,184.951,1362.31
0.412676,231.449,862.795
0.481459,316.138,434.438
0.49233,330.875,413.257
0.495893,335.771,407.201
0.584511,469.183,318.803
0.636819,557.025,289.921
0.676499,627.486,272.913
0.6945,660.452,266.205
