entry_x,entry_y,entry_z,exit_x,exit_y,exit_z,edep
-588.294,-724.154,-1026.94,-592.657,-731.56,-1036.36,0.00130939
-592.657,-731.56,-1036.36,-597,-738.98,-1045.79,0.00201174
-597,-738.98,-1045.79,-601.323,-746.413,-1055.22,0.00125276
-601.323,-746.413,-1055.22,-605.627,-753.86,-1064.65,0.000604753
-605.627,-753.86,-1064.65,-609.912,-761.319,-1074.08,0.00152397
-609.912,-761.319,-1074.08,-614.177,-768.793,-1083.52,0.00182824
-614.177,-768.793,-1083.52,-618.423,-776.279,-1092.96,0.00130002
-618.423,-776.279,-1092.96,-622.649,-783.779,-1102.39,0.00207846
-622.649,-783.779,-1102.39,-626.856,-791.291,-1111.84,0.000861725
-626.856,-791.291,-1111.84,-631.043,-798.817,-1121.28,0.00153608
-631.043,-798.817,-1121.28,-635.21,-806.356,-1130.73,0.000933106
-635.21,-806.356,-1130.73,-639.357,-813.908,-1140.17,0.00104423
-639.357,-813.908,-1140.17,-643.485,-821.473,-1149.62,0.000919383
-643.485,-821.473,-1149.62,-647.594,-829.051,-1159.07,0.00130851
-647.594,-829.051,-1159.07,-651.683,-836.642,-1168.53,0.00187409
-651.683,-836.642,-1168.53,-655.752,-844.246,-1177.99,0.00151357
-655.752,-844.246,-1177.99,-659.801,-851.862,-1187.44,0.00145007
-659.801,-851.862,-1187.44,-663.83,-859.492,-1196.9,0.0022927
