event_id,num_trajectory,num_hits,energies,hitx,hity,hitz
31,21,25,0.004211|0.009023|0.002896|0.003659|0.010769|0.030375|0.004989|0.004809|0.020089|0.006782|0.011207|0.004614|0.002322|0.001094|0.001058|0.002034|0.000112|0.003157|0.001040|0.001995|0.002546|0.001337|0.001340|0.002924|0.000994|,196.985900|263.326945|288.565666|318.432324|387.112816|638.806890|681.907444|727.606281|860.257704|905.591853|991.224006|1020.143893|991.098045|905.613154|860.284031|727.699635|681.836091|681.640846|681.832455|638.895749|387.218259|318.413664|288.558848|263.334691|196.967444|,56.154822|77.214293|85.515546|95.546687|119.476154|217.772495|236.331106|256.573675|318.734289|341.168875|385.252483|400.652516|385.308103|341.142815|318.705290|256.529632|236.400778|236.332468|236.372713|217.713946|119.418017|95.560742|85.539327|77.193408|56.183464|,29.399206|39.389888|43.203725|47.727396|58.166215|96.960768|103.694606|110.867204|131.892576|139.151114|152.977031|157.680498|152.999880|139.176457|131.899541|110.817336|103.745994|103.822960|103.772738|96.990188|58.283225|47.781628|43.149878|39.615167|29.411002|
32,21,10,0.004201|0.049374|0.033688|0.021187|0.003773|0.001943|0.003107|0.001006|0.003004|0.001330|,-203.290837|-613.819915|-881.783941|-1042.519731|-1069.101527|-1069.629823|-1042.562523|-881.806078|-613.909212|-203.294514|,-25.062880|-104.864680|-178.825387|-231.898700|-241.325352|-238.972887|-231.958623|-178.799278|-104.896439|-25.032437|,57.392900|174.607712|252.551820|300.024283|307.933839|326.970022|299.787314|252.538517|174.397355|57.442585|
33,26,29,0.000738|0.001963|0.000646|0.006377|0.021479|0.005386|0.024244|0.008522|0.009334|0.007993|0.004542|0.006005|0.001463|0.011519|0.004785|0.002097|0.004904|0.001522|0.001071|0.003255|0.004246|0.002347|0.002654|0.001846|0.001313|0.001229|0.001484|0.001394|0.002187|,-164.665792|-180.037958|-187.110834|-246.753815|-444.119142|-498.828947|-671.896536|-744.212020|-798.577517|-867.870963|-909.632497|-946.097706|-969.394660|-1094.201748|-969.546323|-946.074559|-945.838787|-946.111114|-909.632506|-867.919304|-798.870692|-744.303301|-671.858488|-498.872042|-444.131853|-246.759141|-187.104772|-180.052431|-164.650839|,26.115583|28.246844|29.209768|36.891321|56.765810|60.778773|69.214734|70.830121|71.306326|70.991031|70.301358|69.393349|68.663127|62.757745|68.632449|69.347766|69.261025|69.387395|70.284757|70.978117|71.306411|70.920664|69.144677|60.843520|56.785138|36.884473|29.202848|28.274079|26.054684|,-16.211988|-17.719612|-18.413127|-24.254571|-43.527452|-48.855233|-65.689816|-72.714709|-77.993813|-84.720844|-88.778208|-92.322557|-94.589054|-106.735679|-95.063007|-91.292142|-90.965106|-91.243865|-88.740723|-84.453224|-77.984537|-72.650175|-65.521028|-48.794042|-43.475035|-24.203807|-18.483027|-17.664552|-16.093397|
34,25,19,0.010782|0.007798|0.009255|0.026028|0.000246|0.007766|0.029644|0.004365|0.008990|0.010223|0.003624|0.004884|0.001558|0.001018|0.001192|0.002032|0.001038|0.004485|0.001180|,155.917959|201.640486|248.233733|354.888750|355.085453|391.519236|519.660736|536.348694|569.608687|604.037082|569.440078|536.368010|519.660518|391.489564|355.131600|354.865828|248.229782|201.706965|155.963485|,191.574205|252.299460|316.574408|473.883667|474.188061|531.569517|751.212092|782.181680|845.800257|914.524578|845.778512|782.478624|751.185028|531.569451|474.175312|473.843389|316.592910|252.554302|191.561669|,-107.934825|-141.153134|-175.847319|-258.934058|-259.092428|-288.794479|-399.936822|-415.305882|-446.663438|-480.238364|-446.415210|-415.169606|-400.008053|-288.817526|-259.097859|-259.043793|-175.813287|-140.915584|-107.930805|
35,16,15,0.019023|0.000978|0.019121|0.011129|0.008864|0.012763|0.023597|0.011956|0.001215|0.001228|0.001372|0.001570|0.003608|0.003119|0.002101|,-26.477656|-27.274124|-52.126236|-65.999559|-81.339419|-101.660419|-147.395740|-179.514142|-147.380354|-101.629890|-81.289453|-66.017980|-52.102919|-27.195479|-26.454840|,324.285980|331.053233|510.762468|593.635984|676.117918|774.472384|964.988336|1081.198720|964.994636|774.496661|676.151871|593.617773|511.002460|331.250772|324.297552|,-33.902818|-34.611719|-53.487709|-62.232538|-70.962486|-81.413882|-101.795380|-114.338643|-101.843018|-81.381223|-70.964958|-62.305293|-53.382747|-34.593245|-34.027108|
36,21,28,0.008501|0.009700|0.002680|0.004003|0.011396|0.017343|0.025201|0.000528|0.027147|0.001239|0.001650|0.004202|0.004556|0.002337|0.003396|0.002887|0.004462|0.005447|0.002847|0.001108|0.002477|0.003646|0.003385|0.003178|0.002412|0.006514|0.001449|0.002775|,220.164501|276.239751|295.117588|323.741150|414.197933|571.474786|765.585346|769.086011|956.762945|769.058013|765.656936|571.999042|571.666234|571.690376|572.062028|571.721875|572.057825|572.079396|571.992691|571.725887|414.060620|323.686034|323.705610|323.752155|295.160707|276.236448|276.220503|220.126333|,97.768537|124.874340|134.209339|148.566944|195.569217|283.406449|403.228638|405.511121|534.621985|405.535730|403.190198|284.005207|283.797722|283.850343|283.768834|283.545512|283.346417|283.351534|283.466504|283.826553|195.623198|148.632305|148.597595|148.757511|134.198337|124.879482|124.821495|97.786291|,-2.613246|-3.283749|-3.511671|-3.857452|-4.961090|-6.906681|-9.367336|-9.412560|-11.879917|-9.376741|-9.369019|-7.647904|-11.091781|-12.732376|-14.955588|-16.796639|-17.710514|-17.499979|-17.360795|-12.730219|-5.008489|-2.304396|-1.373339|-1.203225|-3.665754|-2.200859|-2.228767|-2.814281|
37,26,22,0.005097|0.002352|0.000540|0.009803|0.001451|0.053212|0.019585|0.016293|0.003675|0.010765|0.001993|0.001757|0.004659|0.001929|0.001165|0.004820|0.005003|0.004228|0.001833|0.001885|0.002288|0.002253|,-22.711495|-24.049054|-24.966016|-36.437067|-39.007168|-127.841275|-171.644824|-207.084296|-214.181838|-245.806686|-250.999505|-245.871805|-214.005310|-213.993940|-207.049093|-171.478279|-127.939924|-39.088820|-36.372050|-24.885346|-23.950380|-22.656280|,192.334491|201.628573|207.911255|281.300735|296.617085|695.004873|841.826450|947.657258|967.738120|1053.366058|1066.871711|1053.353907|967.718374|967.670763|947.687423|841.581468|695.261825|296.892718|281.370439|207.944327|201.672434|192.445861|,118.346005|124.082877|127.961927|173.342936|182.831645|432.329231|525.935927|594.127104|607.139904|662.910272|671.751476|662.846879|607.391908|607.489021|594.125198|526.079189|432.585295|182.751019|173.329384|128.014439|124.172573|118.294543|
38,11,7,0.008520|0.018442|0.014453|0.083768|0.001450|0.001173|0.001742|,-41.636794|-64.086955|-79.413461|-97.163077|-79.471064|-64.045773|-41.671673|,-207.932820|-352.961171|-480.237532|-1091.684632|-480.266360|-352.946212|-207.903720|,-119.018542|-201.401942|-273.357328|-617.039283|-273.342344|-201.419015|-119.097949|
39,24,45,0.019870|0.033064|0.026252|0.007310|0.003334|0.001382|0.049477|0.009802|0.001493|0.000310|0.003743|0.000715|0.006642|0.002386|0.005902|0.004214|0.003285|0.004794|0.004097|0.003966|0.005004|0.005943|0.001816|0.001251|0.001829|0.002857|0.002363|0.001706|0.003680|0.000936|0.000058|0.004955|0.006402|0.001020|0.001180|0.003238|0.001669|0.002154|0.000992|0.003557|0.003023|0.003043|0.004899|0.001763|0.001180|,173.416048|267.185471|353.102830|377.155014|390.602409|397.293134|527.748930|544.702182|549.097115|551.117068|560.890728|563.748067|560.460896|560.138796|560.922313|559.529216|560.824857|562.244404|561.045969|562.519938|561.572628|561.604724|561.612783|560.099147|551.201712|549.239248|544.802334|527.707617|397.469546|397.768736|397.798703|397.477798|397.310825|397.795768|397.767730|390.410471|377.086240|352.981795|267.203089|173.087262|173.118531|173.064761|173.162704|173.214331|173.133709|,223.182827|361.952486|503.588862|546.199510|570.659420|583.009802|852.870590|893.005517|903.648644|908.575261|932.731365|939.895801|935.196216|934.910705|937.122207|938.780668|937.022392|936.137420|936.795356|936.533423|936.279766|936.296749|936.277034|934.882293|908.554362|903.771059|893.095834|852.819863|583.458502|583.107086|583.338393|583.392469|583.374299|583.338094|583.123508|570.545157|546.171944|503.604652|361.928532|223.511188|223.680418|223.513219|223.646784|223.592342|223.673225|,266.317648|423.996066|579.961577|626.018753|652.291986|665.513387|947.827264|988.863360|999.709622|1004.725136|1029.270175|1036.536887|1024.929918|1026.316496|1031.759426|1037.201231|1040.549720|1043.712601|1046.004291|1047.956870|1049.498861|1048.988994|1048.892409|1026.298027|1004.766765|999.681519|988.811400|947.884981|667.060717|666.572233|666.654597|666.552155|667.069881|666.692409|666.527032|652.307165|626.057142|579.937153|424.016349|264.574909|264.059716|264.082095|263.765265|263.817828|264.014704|
40,30,16,0.000112|0.007147|0.009500|0.025000|0.063569|0.017104|0.016691|0.016892|0.002034|0.002488|0.001263|0.001813|0.005962|0.002580|0.001937|0.003119|,-116.702609|-140.366104|-196.587064|-305.227617|-616.631906|-699.325173|-767.508759|-853.633233|-767.496865|-699.443562|-616.637117|-305.276111|-196.583778|-196.509918|-140.401552|-116.641285|,125.548957|149.452150|204.301823|303.127654|542.002836|595.962153|637.803683|687.405487|637.913928|595.996847|541.951253|303.190377|204.258910|204.391422|149.353462|125.347376|,-180.862875|-216.293355|-299.029921|-453.724819|-867.341796|-971.348664|-1055.616758|-1160.316945|-1055.642046|-971.245931|-867.352197|-453.671096|-299.862520|-299.929547|-216.287694|-180.901354|
