event_id,num_trajectory,num_hits,energies,hitx,hity,hitz
51,17,0,,,,
52,62,118,0.005995|0.019888|0.008582|0.000183|0.006760|0.041740|0.008995|0.010091|0.003739|0.003695|0.000819|0.002681|0.001030|0.001244|0.002811|0.001151|0.038606|0.006710|0.010766|0.001960|0.002685|0.016691|0.004845|0.000847|0.011912|0.017642|0.000818|0.009629|0.061103|0.015756|0.013564|0.006734|0.005163|0.007229|0.010585|0.019374|0.014448|0.009283|0.024296|0.015947|0.002775|0.009499|0.003749|0.004851|0.004146|0.013419|0.012456|0.000386|0.009980|0.010579|0.007400|0.001749|0.005563|0.006239|0.005413|0.005038|0.005782|0.004055|0.004266|0.004201|0.002948|0.005867|0.003261|0.005342|0.001061|0.002741|0.002114|0.001067|0.001032|0.001080|0.002451|0.002272|0.001787|0.001040|0.002162|0.005158|0.005677|0.002995|0.006732|0.001734|0.004450|0.001200|0.003609|0.005944|0.001612|0.003099|0.001552|0.001874|0.003774|0.001050|0.001707|0.001472|0.005388|0.005025|0.001368|0.001805|0.005019|0.004679|0.002534|0.001404|0.004466|0.001964|0.003001|0.001417|0.003403|0.001824|0.001037|0.005204|0.003280|0.002355|0.001514|0.002532|0.003471|0.002559|0.003200|0.004269|0.006169|0.001311|,-164.325308|-247.983821|-307.843209|-309.229341|-343.407221|-563.115425|-616.546465|-676.066186|-693.189239|-712.775200|-720.141609|-741.773193|-720.106423|-712.821308|-693.154109|-676.109302|-572.565370|-577.335836|-562.847900|-565.754009|-563.594227|-553.759131|-550.912112|-550.483337|-557.630246|-566.607698|-569.652286|-577.149259|-579.874555|-587.830896|-594.200507|-593.403244|-591.856554|-593.796985|-593.627051|-603.225466|-599.247251|-588.196293|-549.062391|-550.143500|-549.125103|-541.047791|-541.805618|-540.363041|-540.431108|-541.196861|-541.307964|-540.118838|-540.973032|-541.068988|-540.945608|-540.273094|-540.567322|-540.825821|-540.942648|-540.666564|-541.409052|-541.423697|-541.295695|-540.849972|-541.074854|-541.171161|-541.342716|-540.405884|-540.283619|-540.946846|-540.047743|-540.428615|-540.387980|-541.836721|-541.111211|-549.269503|-549.184524|-549.254416|-550.147375|-549.100492|-549.173283|-549.306234|-549.331109|-588.238460|-588.352983|-588.242115|-599.267409|-603.469862|-593.627717|-593.767757|-591.847716|-593.470753|-594.102742|-587.817082|-579.870207|-577.155691|-569.733493|-569.639541|-566.647811|-557.581699|-550.362300|-550.351761|-550.391635|-550.944989|-553.577137|-553.475259|-553.396225|-553.538732|-563.494301|-563.469036|-562.839739|-577.519840|-572.485809|-563.014399|-343.357897|-309.291766|-307.615274|-247.859371|-163.905581|-164.106285|-164.036482|-164.073590|,-147.810848|-228.760030|-289.263566|-290.691099|-326.283524|-574.794761|-641.018288|-717.900641|-740.649978|-767.035319|-777.062674|-806.838602|-777.077005|-767.020025|-740.623407|-717.887958|-654.091036|-655.525941|-658.467085|-659.619543|-658.114202|-657.191536|-659.146515|-658.049704|-651.099029|-656.725850|-658.254874|-658.869582|-568.529371|-585.405421|-578.476785|-578.899790|-576.392796|-578.830321|-579.384400|-590.344902|-584.110390|-586.981106|-584.372081|-592.116017|-592.814485|-598.563333|-599.262991|-600.426241|-599.465303|-600.466346|-600.377071|-600.066676|-599.335431|-599.342494|-599.203252|-599.489824|-600.175939|-600.258707|-599.548197|-599.689163|-599.914883|-600.031348|-599.688500|-600.023461|-599.720441|-599.756051|-599.872817|-600.046347|-599.523470|-599.387235|-599.999928|-599.503246|-600.440383|-599.245296|-598.689103|-593.052889|-593.049282|-593.054604|-591.991169|-584.456803|-584.317720|-584.431705|-584.443205|-586.643796|-586.920315|-586.631183|-583.886000|-590.399218|-579.447209|-578.969332|-576.440781|-578.951024|-578.468372|-585.373318|-568.544721|-658.875562|-658.461466|-658.426222|-656.770640|-651.139067|-657.993678|-658.022518|-657.873626|-659.143916|-657.082837|-656.815518|-656.949045|-656.811196|-658.379217|-658.292589|-658.482146|-655.325032|-654.037911|-574.814270|-326.296194|-290.677598|-289.194032|-228.783470|-147.662784|-147.414294|-147.442257|-147.484206|,33.281813|50.827000|63.651367|63.951335|71.389155|121.388298|134.204473|148.863142|153.156790|158.111533|159.987489|165.536513|159.990211|158.129285|153.362088|148.855644|82.274798|82.064700|91.696998|99.208386|105.138108|135.319819|149.195602|153.528345|179.198372|213.648190|213.773840|211.954274|282.676385|279.416820|265.008259|251.481198|250.651722|246.372262|250.465727|287.420378|331.643493|363.068355|454.893615|492.823282|499.133129|533.412858|547.040958|558.210349|571.049476|608.225847|620.632668|620.366462|610.676415|614.248015|622.623768|624.888095|634.689056|639.285867|644.149736|644.942843|646.356962|646.901974|648.506542|649.262941|648.920425|648.194622|648.086448|635.164948|624.907068|610.485194|620.441947|571.063089|558.235893|547.020469|533.352284|498.877070|498.914692|498.841070|492.823477|458.453716|460.955972|461.246106|462.223466|362.801179|362.850775|362.753491|331.796284|287.307397|250.417342|246.186141|250.594744|251.426181|265.341120|279.434925|282.588727|211.885336|214.502620|215.069838|213.650690|179.125532|155.442019|156.489465|156.532363|149.250265|134.117092|133.798558|133.646046|133.796468|105.347604|105.379986|91.731926|82.332509|82.022215|121.281333|71.439824|64.112319|63.587977|50.716041|31.819583|30.921831|30.808829|30.804489|
53,33,37,0.008495|0.010164|0.019493|0.014555|0.014758|0.007816|0.011384|0.004685|0.004480|0.010463|0.000046|0.007626|0.032412|0.003839|0.003362|0.002348|0.001905|0.003016|0.001949|0.001556|0.001173|0.003093|0.000122|0.003946|0.004836|0.001165|0.000145|0.002887|0.006424|0.001606|0.001701|0.001165|0.005636|0.001781|0.001298|0.001682|0.002695|,192.618809|244.208487|379.348053|486.166056|571.865179|609.567863|660.017999|704.705603|726.741904|799.398965|800.575058|845.551677|1029.349993|1046.133717|1029.246998|1029.144101|1029.257504|845.845931|845.774122|800.526615|799.387075|726.829565|704.747199|704.740430|704.467124|704.781769|659.837749|659.747338|659.764261|659.896255|609.512623|571.873807|486.132918|486.217431|379.312440|244.238438|192.500494|,-88.579961|-109.927795|-161.317689|-197.458493|-223.689597|-234.469877|-248.179039|-259.640789|-265.061524|-281.858063|-282.116487|-291.678888|-324.354927|-326.833666|-324.530339|-324.440122|-324.555898|-291.783928|-291.857279|-282.113699|-281.814022|-264.938074|-259.569871|-259.505572|-259.469935|-259.546326|-248.181125|-248.216135|-248.152209|-248.220836|-234.440668|-223.734811|-197.405789|-197.437056|-161.319690|-109.857535|-88.571037|,192.159017|242.745514|373.757360|475.957406|557.184518|592.726198|640.106913|681.918441|702.487918|770.084329|771.175676|812.848804|982.051889|997.425735|982.384461|982.424549|982.488006|812.926136|812.898021|771.233293|770.095425|702.313547|681.889250|681.032112|680.788281|681.909742|640.353038|641.437647|642.307887|640.386682|592.786701|557.178386|475.239924|475.258731|373.800465|242.709580|192.302517|
54,20,19,0.004058|0.032154|0.014903|0.008815|0.017072|0.027422|0.010454|0.014472|0.001831|0.003558|0.003155|0.003416|0.001826|0.001472|0.001926|0.002473|0.003229|0.001557|0.001144|,53.067545|109.007857|136.786086|148.617913|168.041160|190.013504|196.545652|202.004867|196.616180|189.670002|189.695382|189.928243|189.840844|189.678376|168.076109|148.691532|136.647264|108.948829|53.042230|,169.791212|387.426989|520.639920|585.724777|709.773847|900.445591|982.006301|1077.223298|982.065562|900.138006|900.002131|900.146591|900.153601|900.023133|709.843967|585.684456|520.468233|387.396408|169.771827|,115.437905|261.273124|349.567056|392.490216|473.958608|598.501166|651.595342|713.486404|651.566926|597.995840|598.191295|598.449316|598.489083|598.255065|473.886445|392.631365|349.604303|261.306838|115.470226|
55,23,14,0.000749|0.057471|0.000526|0.001577|0.050912|0.006132|0.001452|0.004929|0.002139|0.004197|0.002522|0.002288|0.000288|0.004940|,-217.578417|-480.890912|-482.671159|-488.887111|-714.796884|-746.385839|-714.854255|-488.926902|-488.888565|-482.726923|-480.776669|-217.467313|272.727743|272.648007|,2.583293|-18.863830|-19.101895|-19.942553|-61.083989|-68.517874|-61.055536|-20.060593|-19.946064|-19.350450|-18.800903|2.608935|564.994408|564.789689|,-327.957354|-726.918664|-729.629361|-739.097052|-1085.810418|-1134.792279|-1085.793035|-739.291442|-739.314967|-729.420374|-727.016973|-328.037806|264.422613|264.826525|
56,84,71,0.009184|0.016653|0.003721|0.080810|0.010261|0.004888|0.001348|0.021459|0.012571|0.007064|0.005699|0.028778|0.005971|0.000957|0.009888|0.008778|0.013807|0.014072|0.007276|0.001281|0.015578|0.011262|0.005881|0.008335|0.007482|0.000325|0.000228|0.005693|0.003319|0.001440|0.001317|0.001858|0.000340|0.003449|0.003715|0.004706|0.001160|0.001144|0.001389|0.003648|0.001139|0.002634|0.003333|0.003963|0.005377|0.002482|0.002531|0.002890|0.002220|0.002940|0.004776|0.005462|0.003433|0.005161|0.000781|0.002763|0.001333|0.002414|0.002357|0.001294|0.002109|0.005631|0.003495|0.000536|0.001983|0.001625|0.005165|0.003433|0.001521|0.003025|0.002342|,-36.169351|-53.552828|-55.933842|-62.138069|-57.005978|-54.586413|-57.054458|-61.155548|-53.129108|-56.349444|-52.847343|-37.894738|-39.284336|-40.102359|-42.821153|-43.849213|-62.594632|-57.674058|-57.089466|-56.363528|-58.409355|-54.930109|-51.210262|-51.767454|-51.711055|-51.368130|-51.806014|-51.183039|-51.624751|-51.222250|-51.195155|-51.341458|-51.091172|-51.503856|-51.458140|-51.230892|-51.493987|-51.066195|-51.330134|-51.174745|-51.358648|-51.594133|-51.200303|-51.200896|-51.315308|-51.568948|-51.745243|-51.153151|-57.100276|-57.685966|-44.047601|-43.144265|-42.705748|-42.753903|-42.838745|-42.907839|-42.817585|-40.000002|-39.335917|-52.877392|-56.251935|-52.952896|-61.323435|-55.783818|-55.792225|-55.732998|-53.629786|-36.126938|-36.107117|-36.203285|-36.095830|,-227.628956|-385.977479|-413.564829|-993.033861|-1065.632234|-1094.639814|-1065.636595|-964.990394|-963.346966|-968.366770|-970.332717|-940.387396|-939.136942|-940.424078|-932.595753|-936.551756|-936.318284|-947.179609|-946.537477|-948.524714|-939.084779|-929.600260|-932.746824|-932.640054|-932.782631|-932.115281|-932.150834|-932.276380|-932.562443|-932.360537|-932.504275|-932.662267|-932.384215|-932.368077|-932.355528|-932.518904|-932.351583|-932.382396|-932.610529|-932.613467|-932.140189|-933.200089|-933.072372|-932.952340|-933.110554|-933.343994|-932.500507|-932.845215|-946.509232|-947.178401|-936.326530|-932.287870|-932.384572|-932.241559|-932.253407|-932.415756|-932.262433|-940.414038|-939.107860|-970.317515|-968.301739|-963.531447|-965.154942|-413.521936|-413.463803|-413.470171|-386.134058|-227.508929|-227.675855|-227.540026|-227.758156|,-135.646786|-229.317331|-245.597591|-586.623512|-629.400837|-646.509568|-629.434452|-721.484564|-788.637240|-835.310067|-871.198290|-937.675025|-946.823175|-949.020915|-977.711612|-1010.036604|-1073.665817|-1068.820545|-1062.300016|-1061.850645|-1056.530259|-1047.864224|-1048.856447|-1038.438722|-1026.235758|-1025.613422|-1025.417723|-1023.202083|-1021.389811|-1020.405617|-1019.183909|-1018.002675|-1017.692297|-1016.825141|-1017.004362|-1017.218602|-1016.975148|-1017.654256|-1018.034960|-1020.401269|-1025.576925|-1025.614103|-1026.105044|-1026.895751|-1027.400491|-1025.560026|-1038.358789|-1048.677533|-1062.163890|-1068.592054|-1009.925729|-976.010151|-975.253209|-974.095802|-974.046589|-974.003917|-973.992539|-948.904846|-946.681933|-871.242601|-835.282222|-788.347044|-721.394847|-245.556141|-245.458987|-245.589473|-229.831274|-137.081879|-137.652836|-137.792881|-137.776936|
57,21,22,0.017605|0.012420|0.022656|0.025547|0.005079|0.004250|0.002637|0.002320|0.022212|0.000249|0.007359|0.005251|0.004419|0.004231|0.001077|0.001970|0.004420|0.001824|0.001309|0.001630|0.002352|0.004132|,283.474515|389.454400|567.908096|760.088524|802.597683|821.505394|839.494927|857.826825|1021.699040|1025.901323|1069.384879|1025.657983|1021.739619|857.595216|839.513495|821.582931|802.624306|802.712803|760.104654|567.960242|389.341596|283.760943|,35.343215|53.631556|90.781629|139.962209|152.165659|157.750626|163.154721|168.751827|222.893888|224.381330|240.066617|224.214349|223.060009|168.804220|163.160874|157.678249|152.374828|152.396894|139.918221|90.721313|53.697894|35.370926|,138.917963|191.209081|279.831840|376.272446|397.770204|407.352100|416.480384|425.795613|509.682308|511.849294|534.321014|511.746980|509.291965|425.539391|416.443995|407.372535|397.488859|397.518222|376.303750|279.834024|191.269148|138.931855|
58,16,18,0.010023|0.040531|0.019683|0.034931|0.001821|0.038472|0.007209|0.005471|0.004431|0.001513|0.001093|0.001321|0.002637|0.001244|0.001387|0.003763|0.004000|0.002725|,171.262722|332.678001|393.594497|509.072731|512.254861|641.564525|663.064008|641.349469|512.255436|512.295527|509.096259|393.576750|393.686053|393.595799|332.662860|171.019724|171.074675|171.024256|,160.477355|336.749375|410.986637|565.969894|570.542300|773.020383|810.350780|773.122482|570.787955|570.766481|565.994075|410.729730|410.851878|410.682043|336.798586|160.506363|160.435161|160.504515|,-267.495049|-539.689994|-649.032692|-869.104429|-875.447611|-1149.012608|-1198.044528|-1148.620665|-875.637871|-875.582088|-869.079214|-649.300754|-649.256378|-649.305630|-539.655544|-267.863434|-268.692321|-268.867351|
59,15,0,,,,
60,30,22,0.009807|0.015968|0.004832|0.001518|0.009252|0.033241|0.024643|0.012310|0.003317|0.003107|0.008779|0.003506|0.004081|0.001202|0.001949|0.002922|0.001085|0.001288|0.005185|0.001139|0.001006|0.001914|,136.719276|179.782941|191.270503|193.985440|211.161307|290.068531|340.923475|360.058408|366.892992|370.336571|387.343435|370.293165|370.269499|366.908666|359.961043|340.873935|290.108491|211.183819|194.116815|191.246964|179.773433|136.790988|,205.718809|279.854837|300.561100|305.516584|337.443527|498.938198|619.903392|670.044788|688.691242|698.248447|747.174504|698.289021|698.524543|688.729388|670.074212|620.060849|498.945703|337.483797|305.767540|300.532897|279.885136|205.662079|,-337.650107|-454.763770|-487.110957|-494.829306|-544.349635|-789.924196|-969.231333|-1042.570570|-1069.709819|-1083.591123|-1154.368571|-1083.926295|-1084.155562|-1069.683209|-1042.538972|-969.110647|-789.916284|-544.319934|-495.043369|-487.136892|-454.745230|-337.700029|
61,19,1,0.122787|,-754.722854|,794.738582|,-405.856527|
62,47,75,0.074478|0.020179|0.003275|0.005628|0.003670|0.012841|0.002893|0.006622|0.010739|0.000835|0.005479|0.003448|0.004761|0.003991|0.004093|0.005002|0.002846|0.005810|0.001708|0.002744|0.006708|0.002358|0.001373|0.001392|0.000800|0.002028|0.005425|0.005838|0.001006|0.027840|0.025800|0.006950|0.003423|0.006335|0.001647|0.005569|0.017760|0.011854|0.000100|0.004733|0.006919|0.009379|0.006546|0.000288|0.001744|0.006342|0.008253|0.000753|0.004934|0.000112|0.004479|0.002547|0.007625|0.002359|0.002267|0.004407|0.004609|0.003200|0.001229|0.001000|0.002617|0.003435|0.000873|0.003746|0.003274|0.003904|0.001791|0.001282|0.001873|0.001211|0.001415|0.001948|0.005754|0.002540|0.002591|,680.531991|828.885403|859.303288|901.340509|939.040689|1040.391347|938.943123|901.315764|901.477060|901.008996|901.752750|901.589218|900.995760|900.936869|901.170449|900.899996|900.945006|901.124833|901.099542|901.118995|901.014004|900.960390|901.076253|901.177401|901.012879|900.901591|901.344679|901.202858|901.220609|864.575016|884.017319|881.657014|882.051516|886.912749|889.210244|895.910152|890.037990|896.334386|896.267882|895.769778|895.962693|895.772039|896.228174|896.310596|896.254827|896.310940|895.383356|895.770018|896.268927|896.233229|895.890268|896.175334|896.028507|895.957598|895.919010|896.262129|896.014133|896.440554|896.276662|896.203899|896.121357|895.976200|896.373819|896.137248|896.162207|896.412386|896.327802|896.297478|889.121021|886.874105|882.049610|881.706791|864.324668|828.916806|680.657935|,194.046934|251.857411|264.444425|282.250969|298.634674|344.676436|298.692428|282.336994|281.497498|281.429361|281.900189|281.538355|281.973859|281.731095|281.419470|281.879983|281.869752|281.506448|281.261273|281.615707|281.643063|281.512475|281.286536|281.379244|281.547090|281.554432|282.504242|282.514606|282.487544|236.484357|242.904674|243.703133|243.361824|237.077066|236.532783|239.946712|229.003355|237.082704|237.233514|236.572117|236.938131|236.464161|236.568423|236.656293|236.611016|236.746669|236.583161|236.965457|236.613465|236.725427|236.200127|236.497039|236.622374|236.596091|236.188245|236.779699|236.625495|236.550986|236.691119|236.594875|236.919628|236.448674|237.637439|237.798799|237.856011|237.866716|237.576938|237.043696|236.530109|237.095108|243.326538|243.791338|236.524528|251.877681|193.986352|,104.475214|127.932851|132.786735|139.510056|145.559556|161.945151|145.379796|154.328415|160.077043|159.788581|156.338029|162.881636|169.427204|175.195747|180.355053|183.974672|184.227609|184.310124|184.381782|183.978455|184.121695|184.144091|184.432771|180.402633|159.846104|159.864940|156.174118|156.550584|156.533086|218.538050|255.024028|274.827324|281.463913|302.559352|305.633801|322.403228|368.144394|414.351014|414.883456|427.112097|448.504146|470.703651|480.828172|480.951364|483.413656|493.614330|494.399332|493.990955|491.573974|491.512477|491.418382|491.135383|490.607811|490.475962|491.559604|490.311892|490.166203|483.537136|480.937199|480.822364|448.557392|427.110198|415.389215|415.639177|414.749092|414.905581|415.444667|414.358440|305.587514|302.584681|281.409783|274.794581|218.790305|127.760917|104.571335|
63,77,22,0.008155|0.016581|0.014963|0.009329|0.009361|0.001741|0.011747|0.002020|0.021703|0.016377|0.001327|0.001034|0.002834|0.001434|0.001443|0.001081|0.003103|0.001420|0.006325|0.005978|0.001284|0.001585|,92.075215|153.732242|205.432748|246.168898|279.626711|286.306896|321.044513|328.644877|412.945096|486.064547|493.505659|486.044856|412.978636|328.686142|321.015946|286.320316|279.630859|246.129412|205.395990|205.570481|153.750380|92.026392|,-233.576656|-372.045973|-479.568727|-559.588790|-622.571557|-634.869744|-697.435072|-710.826759|-852.833464|-967.356276|-978.605214|-967.374216|-852.869143|-710.784538|-697.483966|-634.850999|-622.778391|-559.639003|-479.965539|-479.855572|-372.021181|-233.635040|,38.383532|61.576970|79.836100|93.576183|104.490033|106.631960|117.582963|119.938942|145.210341|166.010385|168.074369|166.038283|145.003286|119.911264|117.549047|106.666514|104.436342|93.576253|79.870093|79.416837|61.622623|38.387331|
64,6,3,0.014732|0.098337|0.001329|,179.531596|559.662367|179.483359|,250.328924|942.334354|250.347697|,-63.462561|-226.218433|-63.437174|
65,34,42,0.027132|0.001458|0.017425|0.007614|0.014013|0.022765|0.012581|0.008667|0.016261|0.005352|0.001752|0.001613|0.001311|0.002300|0.001557|0.003513|0.002756|0.001008|0.001409|0.001146|0.006051|0.004115|0.001225|0.003533|0.000036|0.002647|0.004022|0.004318|0.001612|0.002440|0.005455|0.004195|0.000007|0.003106|0.000278|0.001799|0.004809|0.004060|0.002517|0.002754|0.006637|0.001100|,-69.178230|-71.145877|-89.068618|-94.491954|-103.659702|-115.099636|-117.091395|-117.716482|-116.150832|-115.257527|-114.540233|-115.324621|-115.304363|-115.341376|-115.289803|-115.308383|-116.247887|-117.686261|-117.079485|-115.143249|-103.518178|-103.681648|-94.474195|-89.329801|-89.347143|-89.340082|-89.319091|-89.158987|-89.386172|-71.136672|-69.175898|-69.456694|-69.446422|-69.151328|-69.414455|-69.704346|-69.566071|-70.128157|-69.781139|-69.689991|-69.673340|-69.731720|,-331.709942|-343.988883|-470.944291|-517.041740|-609.731307|-794.595120|-866.368103|-931.140550|-1043.880358|-1071.425996|-1089.998411|-1071.762096|-1071.773420|-1071.868832|-1071.724676|-1071.516025|-1044.031248|-931.148662|-866.405420|-794.606622|-609.603809|-609.752831|-517.012434|-470.795611|-470.721082|-470.808869|-470.801815|-470.847044|-470.745573|-344.090462|-331.700195|-331.635036|-331.675216|-331.817011|-331.405025|-331.645270|-331.404102|-331.283762|-331.337105|-331.270909|-331.355102|-331.672642|,-248.103039|-257.203909|-351.045439|-385.014468|-453.180158|-588.703767|-641.233724|-688.630277|-771.134937|-791.302818|-804.902102|-791.830959|-792.315808|-792.414894|-792.371357|-791.847947|-771.123044|-688.610700|-641.183019|-588.706761|-454.046789|-453.780845|-385.052037|-353.389733|-353.478251|-354.591547|-355.551099|-355.928265|-354.588409|-257.082931|-255.542596|-261.586777|-261.638726|-265.738468|-266.109404|-267.638190|-270.106325|-269.997077|-269.355626|-268.374086|-267.528657|-267.620906|
66,17,9,0.019002|0.069033|0.012176|0.004071|0.020764|0.001987|0.004818|0.001136|0.001129|,290.048632|802.479067|882.629543|907.182681|1090.946443|907.133902|882.536175|802.456754|290.069320|,-57.062913|-106.016814|-107.814633|-108.050359|-105.127816|-108.063855|-107.667263|-106.007263|-57.050626|,163.749734|449.027414|493.433736|507.035936|608.852458|507.138476|492.976916|449.065372|163.712163|
67,21,19,0.006065|0.044152|0.002387|0.017891|0.007402|0.047678|0.000522|0.002724|0.000796|0.003740|0.005845|0.006843|0.001028|0.001142|0.003786|0.004142|0.004843|0.001075|0.001695|,112.159283|291.361257|302.485427|401.191527|439.051789|644.674096|647.707104|644.601886|439.564307|438.988350|439.443615|439.432396|439.422228|401.222875|302.349200|302.327905|302.321620|291.363909|112.107582|,-193.709089|-460.367590|-475.512708|-603.833782|-650.379610|-880.983977|-884.133196|-880.905011|-650.705825|-650.663568|-650.485182|-650.508694|-650.472136|-603.819266|-475.696202|-475.793612|-475.778095|-460.394548|-193.768885|,125.459079|305.552282|316.083601|406.806758|440.432692|613.627840|616.078419|613.787058|440.398793|440.660271|440.680930|440.311978|440.312820|406.777604|317.894578|317.734162|317.173161|305.521379|125.491266|
68,19,7,0.005522|0.046789|0.008875|0.033548|0.001075|0.001093|0.001042|,-31.500406|-36.492754|-35.290728|-25.109684|-35.293711|-36.504387|-31.523342|,-256.519745|-460.776612|-503.629260|-652.152965|-503.665658|-460.743148|-256.494575|,-439.870219|-787.726996|-860.715543|-1114.194736|-860.697073|-787.749693|-439.889089|
69,25,0,,,,
70,23,39,0.016631|0.010041|0.016027|0.075226|0.002353|0.003120|0.001907|0.003548|0.004836|0.000890|0.002843|0.002286|0.001379|0.001274|0.003316|0.001151|0.002163|0.008345|0.001365|0.000855|0.003540|0.006425|0.004447|0.007329|0.003625|0.005011|0.002108|0.003853|0.004773|0.004130|0.001714|0.003980|0.004845|0.004227|0.002453|0.002583|0.001176|0.001411|0.001185|,253.853436|346.512351|484.808073|1065.331242|1081.780622|1065.044577|1065.299366|1065.112329|1065.340821|1065.171224|1065.064845|1065.067093|1065.286883|484.831756|346.523477|253.670122|253.936643|258.336088|258.536707|258.552742|259.044712|258.882725|258.731412|258.339370|258.374690|258.217573|258.357823|258.334462|258.186387|258.258105|258.290809|258.733973|259.038527|259.119894|258.899464|258.441619|258.539240|253.915048|253.662091|,-67.053444|-87.451764|-113.956403|-175.382944|-175.973540|-175.655134|-175.217581|-175.696788|-175.554138|-175.593773|-175.581427|-175.664277|-175.161644|-113.978673|-87.336703|-67.486654|-68.615196|-65.296535|-64.585093|-65.374305|-65.318873|-65.382506|-65.485386|-65.257266|-65.314813|-65.294030|-64.767189|-65.292384|-65.238509|-65.259843|-65.181934|-65.559755|-65.556928|-65.277873|-65.316696|-65.337133|-64.625693|-68.590585|-67.474518|,-108.351081|-147.506536|-205.609508|-446.682093|-453.477244|-446.824330|-446.757474|-446.281099|-446.852583|-446.627848|-446.450570|-446.683895|-446.736374|-205.566047|-147.261033|-109.905994|-113.720561|-127.327522|-128.955164|-129.963748|-137.495906|-145.853946|-150.932836|-156.224840|-160.822457|-164.049412|-165.032844|-165.253997|-163.843359|-163.088750|-163.069759|-151.615591|-151.550325|-146.056326|-137.542879|-130.090684|-128.931026|-113.775996|-109.952180|
71,19,0,,,,
72,38,44,0.001820|0.022285|0.016115|0.018986|0.003837|0.041040|0.031521|0.001316|0.001440|0.002251|0.001638|0.001888|0.017713|0.001674|0.003396|0.007818|0.000076|0.008704|0.000656|0.009641|0.006218|0.005361|0.005479|0.006331|0.001134|0.003223|0.000005|0.003382|0.004996|0.004547|0.005242|0.000025|0.004131|0.001017|0.001763|0.001328|0.001265|0.001091|0.001210|0.001309|0.005110|0.002288|0.003389|0.001399|,93.167590|180.787204|242.173120|330.745142|344.530129|548.313887|692.967364|697.483021|692.997577|548.279013|344.476937|330.808165|246.871247|246.974126|247.375661|246.846269|247.248930|246.920314|246.542942|247.022433|246.899999|246.879132|246.259358|246.527565|246.209967|245.835047|245.843172|246.009426|245.782844|245.652339|245.637087|245.642072|245.784845|245.638195|245.648923|245.837965|246.190782|246.537604|247.245447|246.820450|247.083798|246.884519|180.651272|93.209551|,-147.238731|-272.962155|-354.861819|-465.215812|-481.634774|-703.787256|-841.359202|-845.419089|-841.301825|-703.910593|-481.665882|-465.148532|-368.792939|-369.150970|-368.499889|-368.818555|-368.984383|-368.731716|-368.954972|-368.706866|-369.013739|-368.929608|-368.893027|-368.659107|-368.227873|-368.826174|-368.838994|-368.913225|-368.909987|-368.429011|-368.676193|-368.682797|-368.438364|-368.719054|-368.629665|-368.892494|-368.250612|-368.919777|-368.936232|-368.867384|-368.556874|-369.200129|-272.965862|-147.245862|,136.325720|256.247827|336.336448|447.039649|463.814381|699.757720|856.007719|860.759783|855.999590|699.796074|463.867781|446.996744|391.115309|401.891888|413.056392|429.093843|429.966437|454.536511|455.632091|473.583310|488.426909|501.231523|508.937115|506.830840|505.856958|503.494324|503.486652|500.648902|498.493695|497.045502|495.733466|495.732402|495.656486|495.740385|495.653605|503.507103|505.901699|455.654217|429.956214|429.084515|412.935520|401.989297|256.489261|136.279027|
73,32,27,0.011766|0.014980|0.010660|0.008950|0.013652|0.006798|0.014382|0.014192|0.001513|0.008911|0.001134|0.016555|0.001346|0.005020|0.002730|0.001018|0.001827|0.001842|0.001011|0.003038|0.001005|0.000999|0.001288|0.001744|0.002172|0.003691|0.001707|,156.823030|231.111364|283.297357|331.574258|403.797023|432.506330|518.871984|617.789118|624.168625|680.912160|688.539749|782.690500|789.573038|817.157108|789.518355|782.677995|688.587432|680.867589|624.192550|617.789988|518.890153|432.523424|403.794409|331.620514|283.231007|230.957553|156.878431|,-175.688623|-251.798257|-302.819514|-348.334092|-413.573437|-438.596593|-510.938140|-588.691513|-593.528428|-635.642760|-641.181003|-707.238730|-711.905057|-730.390485|-712.011428|-707.218158|-641.115551|-635.602951|-593.525232|-588.870729|-510.950793|-438.610554|-413.624208|-348.365619|-302.865008|-251.775857|-175.680438|,-164.396783|-238.626976|-289.558899|-335.860170|-403.782076|-430.360809|-508.991209|-596.812229|-602.400119|-651.724411|-658.303142|-738.579173|-744.382136|-767.554985|-744.530229|-738.608147|-658.249895|-651.804460|-602.371803|-596.931388|-508.961708|-430.331686|-403.761768|-335.788281|-289.662406|-238.902717|-164.329126|
