energies,initx,inity,initz,tot_dist,dEdx,beta_gamma
1999.85,-104.296,-581.193,766.736,1159.55,0.000192177,19.9024
0.311648,225.302,-109.379,441.878,2.46763,0.0103721,1.26163
0.0394959,227.522,-20.6371,-368.905,1044.05,0.0384134,0.400696
1992.95,-865.127,-108.934,-247.662,975.772,0.000192098,19.837
1995.59,161.601,847.156,-81.5283,942.718,0.000192128,19.862
1995.93,273.842,-975.822,235.338,963.454,0.000192132,19.8653
1999.73,-62.4636,567.348,879.623,949.811,0.000192176,19.9013
1994.48,530.916,-700.283,286.222,987.155,0.000192116,19.8516
1995.93,668.888,-509.773,-66.2253,941.432,0.000192132,19.8653
1994.92,-1046.9,53.4458,-828.027,1196.59,0.000192121,19.8556
1995.19,-1006.27,253.1,-737.416,1151.7,0.000192124,19.8583
1994.18,629.073,-749.541,-909.291,1281.08,0.000192112,19.8487
1949.32,-1070,-67.6727,-780.067,1161.14,0.000191589,19.4235
43.7609,-181.544,-135.784,-315.836,1493.07,0.000243608,86.6321
1991.61,865.597,-641.327,-690.287,1114.95,0.000192082,19.8243
1999.81,-732.687,-213.426,-945.089,1220.21,0.000192177,19.902
1999.83,-451.821,-181.126,1014.69,472.257,0.000192177,19.9022
1995.93,44.6904,-863.106,-178.231,958.333,0.000192132,19.8653
1992.42,522.495,936.064,-924.13,1239.5,0.000192092,19.832
0.438892,94.695,128.968,-136.438,1269.91,0.0079596,1.56699
0.0513632,94.5333,129.087,-138.446,2314.78,0.0339606,inf
0.0438043,238.812,524.972,-1098.06,3788.02,0.0366663,inf
1995.03,-683.149,625.363,-288.491,983.201,0.000192122,19.8567
1999.74,188.157,621.561,1109.52,816.592,0.000192176,19.9014
1999.83,-591.651,235.438,921.77,1027.32,0.000192177,19.9022
1999.75,-745.399,594.133,-1137.33,1269.79,0.000192176,19.9014
1995.06,482.733,266.823,104.354,955.295,0.000192122,19.857
1999.82,-333.555,385.083,-998.526,597.576,0.000192177,19.9021
1999.78,532.679,-432.574,1094.44,907.519,0.000192177,19.9017
1999.79,-151.283,-825.103,-1065.76,1188.99,0.000192177,19.9018
1995.57,362.997,-926.601,118.351,945.103,0.000192128,19.8619
1999.8,947.931,269.807,1049.82,1356.81,0.000192177,19.9019
1993.75,559.946,792.162,806.73,1221.45,0.000192107,19.8446
0.681751,476.531,616.75,1133.67,1714.38,0.00560968,2.10909
0.0267838,119.556,130.054,198.995,1856.24,0.0441622,0.327988
0.0214963,120.273,130.04,201.259,1858,0.0465169,0.293094
1993.98,-994.623,-442.106,-785.375,1157.87,0.00019211,19.8468
1999.6,-374.908,375.72,1054.84,572.275,0.000192175,19.9
0.207627,-215.757,238.827,638.511,656.562,0.0140361,0.988799
0.195257,-214.174,237.983,669.926,660.192,0.0146708,0.954056
1995.47,821.551,495.245,310.39,986.522,0.000192127,19.8609
1995.69,816.4,-421.139,-260.188,975.504,0.00019213,19.863
1994.16,-761.987,764.994,-655.83,1098.43,0.000192112,19.8485
1999.82,-12.9313,791.191,-955.96,1252.09,0.000192177,19.9021
1994.18,-345.627,751.079,162.981,956.515,0.000192112,19.8487
1995.61,770.479,-76.4989,413.961,1064.6,0.000192129,19.8622
1995.18,229.226,1036.35,-603.083,1079.65,0.000192124,19.8581
1977.1,75.243,959.892,550.156,1081.27,0.000191914,19.6868
15.4688,-38.7166,159.578,115.254,1186.92,0.000461373,31.2556
5.09659,0.552976,159.999,129.339,1234.84,0.00108269,10.9281
0.631644,89.1609,-219.978,399.065,2265.41,0.00596405,inf
0.0384412,222.72,16.598,353.198,3401.47,0.0388604,inf
1.73753,38.6606,-166.605,182.101,4344.32,0.00261471,inf
1996.27,-468.175,-981.527,169.151,949.817,0.000192136,19.8685
1994.18,386.87,795.448,-752.562,1232.95,0.000192112,19.8487
1995.54,736.943,742.88,518.115,1047.52,0.000192128,19.8615
1994.94,-468.125,-959.63,737.733,1141.02,0.000192121,19.8559
1999.78,-17.3899,887.045,1153.32,1161.13,0.000192177,19.9017
1994.78,692.152,-317.392,445.117,1087.7,0.000192119,19.8543
1995.75,-500.704,958.079,-561.398,1057.77,0.00019213,19.8635
1994.99,-999.413,-254.317,820.821,1200.02,0.000192121,19.8563
1993.01,-497.724,939.925,867.859,1211.88,0.000192099,19.8376
0.288167,-55.4644,150.079,129.39,2382.51,0.0110077,inf
1995.37,-863.159,-107.625,-472.569,1068.21,0.000192126,19.8599
1995.8,855.817,318.777,-588.783,1117.44,0.000192131,19.864
1994.34,-859.999,293.246,284.421,983.607,0.000192114,19.8502
1990.72,-866.167,-421.613,-581.429,1096.7,0.000192072,19.8159
3.29422,-150.176,-55.2025,-95.4679,1132.41,0.00154459,7.37918
1999.78,-711.008,-199.035,-1122.19,969.095,0.000192177,19.9017
1994.32,-924.781,-526.505,925.266,1243.91,0.000192114,19.85
1995.74,-1074.73,202.32,352.449,986.057,0.00019213,19.8635
1999.8,-575.054,-84.3746,-1061.14,718.499,0.000192177,19.902
1995.44,-1054.12,-55.9823,-387.095,999.707,0.000192127,19.8606
1999.81,-442.787,-148.649,-960.703,501.468,0.000192177,19.902
1995.84,408.677,-1003.91,170.097,950.093,0.000192131,19.8644
1995.75,752.221,735.789,-90.8279,942.052,0.00019213,19.8635
1988.23,-561.88,-828.217,-501.689,1049.44,0.000192043,19.7923
4.66262,-100.442,-124.545,-84.18,1078.94,0.00116347,10.075
1994.74,788.243,-738.717,808.898,1172.4,0.000192119,19.854
1999.8,-171.105,652.579,-1048.34,940.589,0.000192177,19.9019
1995.71,-698.701,-806.991,268.469,967.685,0.00019213,19.8632
0.254589,-124.927,-130.664,197.546,1135.49,0.0120804,1.11564
0.130904,-150.055,-156.394,331.61,1135.49,0.0193472,0.760243
0.0757168,-153.078,-161.893,351.455,1137.58,0.0274417,0.564184
0.0746043,-153.162,-161.987,351.868,1139.64,0.0276773,0.55974
0.0729,-153.193,-162.029,352.037,1141.44,0.0280511,0.552879
1995.43,344.579,992.903,-662.136,1109.65,0.000192127,19.8606
1996.38,-902.781,-304.033,-150.744,950.311,0.000192137,19.8695
1999.85,474.476,-67.6287,822.419,808.133,0.000192177,19.9024
1999.71,938.89,-236.467,1178.7,1244.14,0.000192176,19.9011
1996.12,-273.721,909.94,179.306,955.054,0.000192134,19.867
1999.81,-286.956,365.711,-1042.93,279.981,0.000192177,19.902
1995.88,-662.755,450.479,243.2,981.089,0.000192132,19.8648
1999.8,229.504,812.052,-1101.79,1155.17,0.000192177,19.9019
1995.91,-282.716,1028.37,191.908,953.585,0.000192132,19.8651
1995.48,968.172,8.45321,24.9153,938.821,0.000192127,19.861
1994.98,883.631,-639.654,-645.108,1090.48,0.000192121,19.8562
1996.04,951.902,-7.48871,320.144,990.136,0.000192134,19.8663
1999.75,205.66,981.798,-1117.83,1361.66,0.000192176,19.9015
1995,1000.29,-328.65,493.332,1036.68,0.000192122,19.8564
