wire_label,csag,xsag,ysag,stretch
s,0.000000|,0.000000|,-0.075791|,3.82951e-07
g1,0.000000|,0.009955|,-0.057324|,2.25674e-07
g2,0.000000|,-0.000000|,-0.105777|,7.45924e-07
g3,0.000000|,-0.009955|,-0.057324|,2.25674e-07
g4,0.000000|,0.058408|,-0.047369|,3.77024e-07
g5,0.000000|,-0.058408|,-0.047369|,3.77024e-07
g6,0.000000|,0.009955|,-0.037415|,9.99305e-08
g7,0.000000|,-0.000000|,0.011039|,8.12406e-09
g8,0.000000|,-0.009955|,-0.037415|,9.99305e-08
