wire_label,csag,xsag,ysag,stretch
s,0.000000|,-0.000000|,-0.037895|,9.57378e-08
g1,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g2,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g3,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g4,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g5,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g6,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g7,0.000000|,-0.000000|,-0.023685|,3.73975e-08
g8,0.000000|,-0.000000|,-0.023685|,3.73975e-08
